Planet id,Planet cloud_percent,Planet snow_ice_percent,Planet capture_time,planet_geometry,Landsat ID,Landsat cloud_cover_right,Landsat timestamp,Landsat geometry,time_diff
20230725_192011_53_2431,24,55,2023-07-25 19:20:11.534076+00:00,"POLYGON ((-16.30620918794822 79.89762289269912, -17.084376073544025 80.01254426677242, -18.17312151031024 79.78256888807002, -17.401905813423454 79.66827957839337, -16.30620918794822 79.89762289269912))",LC08_036243_20230725,34.69,2023-07-25 19:19:46+00:00,"POLYGON ((-16.30620918794822 79.89762289269912, -17.084376073544025 80.01254426677242, -18.17312151031024 79.78256888807002, -17.401905813423454 79.66827957839337, -16.30620918794822 79.89762289269912))",0 days 00:00:25.534076
20230802_183522_41_247b,42,14,2023-08-02 18:35:22.410996+00:00,"POLYGON ((-97.44431748067312 74.61306714879228, -97.78701741588587 74.45806228988303, -96.8130031512389 74.31335417725266, -96.46239757640295 74.46205214335802, -97.44431748067312 74.61306714879228))",LC08_044007_20230802,26.78,2023-08-02 18:35:10+00:00,"POLYGON ((-97.44431748067312 74.61306714879228, -97.78701741588587 74.45806228988303, -96.8130031512389 74.31335417725266, -96.46239757640295 74.46205214335802, -97.44431748067312 74.61306714879228))",0 days 00:00:12.410996
20230805_190516_61_2478,35,39,2023-08-05 19:05:16.619367+00:00,"POLYGON ((-89.8319430654452 79.14688355846346, -90.48709742034166 79.02253064360369, -89.40410004220972 78.81145042123708, -88.74387979260773 78.93424445998245, -89.8319430654452 79.14688355846346))",LC08_049004_20230805,47.46,2023-08-05 19:04:54+00:00,"POLYGON ((-89.8319430654452 79.14688355846346, -90.48709742034166 79.02253064360369, -89.40410004220972 78.81145042123708, -88.74387979260773 78.93424445998245, -89.8319430654452 79.14688355846346))",0 days 00:00:22.619367
20230805_190315_23_24af,55,31,2023-08-05 19:03:15.238619+00:00,"POLYGON ((-48.34760648617466 82.32510391795539, -49.77712331500907 82.33817489658288, -49.897539120177385 82.01741634691128, -48.517346571976134 82.0050215030951, -48.34760648617466 82.32510391795539))",LC08_033247_20230805,74.42,2023-08-05 19:02:54+00:00,"POLYGON ((-48.34760648617466 82.32510391795539, -49.77712331500907 82.33817489658288, -49.897539120177385 82.01741634691128, -48.517346571976134 82.0050215030951, -48.34760648617466 82.32510391795539))",0 days 00:00:21.238619
20230805_190317_50_24af,63,22,2023-08-05 19:03:17.502509+00:00,"POLYGON ((-49.422078529459036 82.3340727301181, -50.8555118974502 82.34376657396867, -50.934246778972046 82.02281189004324, -49.55094893893947 82.01393616844844, -49.422078529459036 82.3340727301181))",LC08_033247_20230805,74.42,2023-08-05 19:02:54+00:00,"POLYGON ((-49.422078529459036 82.3340727301181, -50.8555118974502 82.34376657396867, -50.934246778972046 82.02281189004324, -49.55094893893947 82.01393616844844, -49.422078529459036 82.3340727301181))",0 days 00:00:23.502509
20230811_165140_14_2426,19,33,2023-08-11 16:51:40.147440+00:00,"POLYGON ((-74.31326506140877 71.46699455709299, -74.52085188647446 71.31940825106905, -73.75415096751485 71.20755607909278, -73.54149482742287 71.35412997135823, -74.31326506140877 71.46699455709299))",LC08_027010_20230811,57.12,2023-08-11 16:51:19+00:00,"POLYGON ((-74.31326506140877 71.46699455709299, -74.52085188647446 71.31940825106905, -73.75415096751485 71.20755607909278, -73.54149482742287 71.35412997135823, -74.31326506140877 71.46699455709299))",0 days 00:00:21.147440
20230812_222541_19_24b5,15,39,2023-08-12 22:25:41.192973+00:00,"POLYGON ((-68.30662286111924 80.95895252638789, -69.30618888829791 81.06426426576259, -70.39541142146382 80.79973455223663, -69.41272046974817 80.69710296927786, -68.30662286111924 80.95895252638789))",LC08_066243_20230812,29.1,2023-08-12 22:25:17+00:00,"POLYGON ((-68.30662286111924 80.95895252638789, -69.30618888829791 81.06426426576259, -70.39541142146382 80.79973455223663, -69.41272046974817 80.69710296927786, -68.30662286111924 80.95895252638789))",0 days 00:00:24.192973
20230817_062015_26_249c,45,17,2023-08-17 06:20:15.261183+00:00,"POLYGON ((88.93492384841964 75.75511190912405, 88.54190256559637 75.60651013683801, 89.53960249688033 75.44010297085877, 89.94066122789124 75.58767767518295, 88.93492384841964 75.75511190912405))",LC08_158007_20230817,26.88,2023-08-17 06:19:49+00:00,"POLYGON ((88.93492384841964 75.75511190912405, 88.54190256559637 75.60651013683801, 89.53960249688033 75.44010297085877, 89.94066122789124 75.58767767518295, 88.93492384841964 75.75511190912405))",0 days 00:00:26.261183
20230818_201007_84_24c9,11,24,2023-08-18 20:10:07.846601+00:00,"POLYGON ((-52.511203920764835 82.17010308746147, -53.83337435506264 82.2210268899968, -54.41952676757108 81.91829868067812, -53.138598712091294 81.86907205845732, -52.511203920764835 82.17010308746147))",LC08_044245_20230818,17.03,2023-08-18 20:10:11+00:00,"POLYGON ((-52.511203920764835 82.17010308746147, -53.83337435506264 82.2210268899968, -54.41952676757108 81.91829868067812, -53.138598712091294 81.86907205845732, -52.511203920764835 82.17010308746147))",0 days 00:00:03.153399
20230819_173556_56_24bc,24,40,2023-08-19 17:35:56.564505+00:00,"POLYGON ((-10.613941937349596 82.06868868426406, -11.90979993766691 82.1280959725723, -12.598960223660661 81.82923903375548, -11.341975438750074 81.77188042307311, -10.613941937349596 82.06868868426406))",LC08_019245_20230819,71.55,2023-08-19 17:35:41+00:00,"POLYGON ((-10.613941937349596 82.06868868426406, -11.90979993766691 82.1280959725723, -12.598960223660661 81.82923903375548, -11.341975438750074 81.77188042307311, -10.613941937349596 82.06868868426406))",0 days 00:00:15.564505
